Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
8015631312,CLA2522,MI,PAS,04/07/2015,19,VAN,FORD,T,31190,0,0,,0032,32,32,330291,T103,AA,0557A,,NY,I,W,St Nicholas Ave,10ft S/of W 130th St,01/05/0001 12:00:00 PM,408,c3,,YYYYYYY,,,WHITE,,0,,0,CC3,19-No Stand (bus stop),,,
7250393856,4915,IA,PAS,04/07/2015,21,4DSD,FORD,T,10830,40404,40404,,0062,62,62,356958,T302,S,0840A,,K,F,8500,85th St,,01/05/0001 12:00:00 PM,408,d1,,Y,0830A,1000A,GREEN,,0,,0,27 3,21-No Parking (street clean),,,
8011837734,VED22P,NJ,PAS,11/09/2014,14,SUBN,FORD,T,25390,18530,18550,,0019,19,19,347489,T103,B,1202P,,NY,F,1002,Madison Ave,,01/05/0001 12:00:00 PM,408,c,,YYYYYYY,,,RED,,0,,0,D 77,14-No Standing,,,
8001889452,PT3882Z,PA,PAS,04/02/2015,47,DELV,INTER,T,10210,17410,17430,,0013,13,13,359631,T102,E,0932A,,NY,F,279,3rd Ave,,01/05/0001 12:00:00 PM,408,l2,,Y,0700A,0700P,WHITE,,0,,0,B 17,47-Double PKG-Midtown,,,
7793911544,63547MC,NY,COM,04/13/2015,38,DELV,ISUZU,T,57790,44790,53990,,109,109,109,354088,T401,B,1109A,,Q,F,137-05,Northern Blvd,,01/05/0001 12:00:00 PM,408,h1,,Y,0700A,0700P,BROWN,,2012,,0,50-A,38-Failure to Display Muni Rec,,,
7989975956,FJA8525,NY,PAS,07/03/2014,14,VAN,CHEVR,T,36010,10810,25690,,0026,26,26,358228,T103,M,0308P,,NY,F,317,W 112th St,,01/05/0001 12:00:00 PM,408,c,,YYYYY,0800A,0600P,WHITE,,2002,,0,03 7,14-No Standing,,,
7947583596,CFR6141,MI,PAS,06/29/2015,21,SUBN,BMW,T,17030,12210,12310,,0009,9,9,358584,T101,B,1126A,,NY,F,226,E 2nd St,,01/05/0001 12:00:00 PM,408,d1,,Y  Y,1100A,1230A,BLACK,,0,,0,20 1,21-No Parking (street clean),,,
7047799345,55111MB,NY,COM,09/25/2014,14,VAN,FRUEH,T,19890,27190,31890,,0007,7,7,358599,T101,G,0242P,,NY,F,250,E Houston St,,01/05/0001 12:00:00 PM,408,c,,YYYYYYY,,,BROWN,,2012,,0,37 1,14-No Standing,,,
7030606012,GPW9279,NY,PAS,12/02/2014,21,SUBN,NISSA,T,53530,58330,44930,,0090,90,90,359609,T301,S,0937A,,K,F,160,Johnson Ave,,01/05/0001 12:00:00 PM,408,d1,,Y  Y,0930A,1100A,GY,,2011,,0,15 3,21-No Parking (street clean),,,
7298646904,AXEJ868,AB,PAS,07/04/2014,20,SUBN,HYUND,T,36810,11710,13610,,0030,30,30,344778,T103,AA,1234P,,NY,O,532,W 152nd St,,01/05/0001 12:00:00 PM,408,d,,YYYYYYY,0700A,0700P,WHITE,,0,,0,H 77,20A-No Parking (Non-COM),,,
7390642609,75456MC,NY,COM,01/24/2015,40,VAN,MITSU,T,10410,17810,17830,,0025,25,25,330881,T103,X,0949A,,NY,O,488,5th Ave,,01/05/0001 12:00:00 PM,408,e2,,YYYYYYY,,,WH,,2012,,0,CC3,40-Fire Hydrant,,,
7390642609,75456MC,NY,COM,01/24/2015,40,VAN,MITSU,T,10410,17810,17830,,0025,25,25,330881,T103,X,0949A,,NY,O,488,5th Ave,,01/05/0001 12:00:00 PM,408,e2,,YYYYYYY,,,WH,,2012,,0,CC3,40-Fire Hydrant,,,
7034175706,GLS5994,NY,PAS,04/27/2015,38,SUBN,SUBAR,T,28830,0,0,,0070,70,70,357320,T302,S,0858A,,K,I,N,Coney Island Ave,20ft E/of E 16th St,01/05/0001 12:00:00 PM,408,h1,,Y,0800A,0700P,WH,,2004,,0,02 3,38-Failure to Display Muni Rec,,,
7566775080,DKP6744,NY,PAS,02/12/2015,37,SUBN,GMC,T,50770,70520,12550,,0043,43,43,351877,T202,X,0312P,0254P,BX,F,34,Metropolitan Oval,,01/05/0001 12:00:00 PM,408,h1,,Y,0830A,0700P,BK,,2015,217-3062,0,04P,37-Expired Muni Meter,,,
7787581669,D41CDH,NJ,PAS,10/13/2014,20,4DSD,VOLKS,T,32940,21790,11115,,0001,1,1,353194,T105,M,0841A,,NY,O,101,Warren St,,01/05/0001 12:00:00 PM,408,d,,YYYYY,0800A,0200P,WHITE,,0,,0,T 99,20A-No Parking (Non-COM),,,
1369175784,GLJ2708,NY,PAS,10/08/2014,40,SUBN,CHEVR,P,0,0,0,,107,107,107,923485,0107,0000,0330A,,Q,F,172-75,,,01/05/0001 12:00:00 PM,408,F1,,BBBBBBB,ALL,ALL,WHITE,0,1999,-,4,,,,,
7002564304,19643JT,NY,COM,10/02/2014,38,DELV,INTER,T,64290,7990,37290,,114,114,114,361070,T401,H,0259P,,Q,F,31042,Steinway St,,01/05/0001 12:00:00 PM,408,h1,,Y,0800A,0700P,BROWN,,2005,,0,29 4,38-Failure to Display Muni Rec,,,
7211155395,GSW7424,NY,PAS,09/08/2014,21,4DSD,DODGE,T,76930,53987,54500,,0061,61,61,345534,T302,Q,1119A,,K,O,1312,Shore Blvd,,01/05/0001 12:00:00 PM,408,d1,,Y  Y,1100A,0200P,BK,,2012,,0,N 32,21-No Parking (street clean),,,
7228734245,34015MG,NY,COM,01/13/2015,38,VAN,GMC,T,36130,0,0,,0061,61,61,361374,T302,P,0406P,,K,I,E,E 29th St,10ft S/of Avenue U,01/05/0001 12:00:00 PM,408,h1,,Y,0900A,0700P,GR,,0,,0,34 3,38-Failure to Display Muni Rec,,,
7228734245,34015MG,NY,COM,01/13/2015,38,VAN,GMC,T,36130,0,0,,0061,61,61,361374,T302,P,0406P,,K,I,E,E 29th St,10ft S/of Avenue U,01/05/0001 12:00:00 PM,408,h1,,Y,0900A,0700P,GR,,0,,0,34 3,38-Failure to Display Muni Rec,,,
7405922491,GGH6016,NY,PAS,06/21/2015,40,4DSD,ME/BE,T,18820,0,0,,0046,46,46,340075,T201,D,0558A,,BX,I,W,Cedar Ave,200ft S/of W 179th S,01/05/0001 12:00:00 PM,408,e2,,YYYYYYY,,,BK,,2003,,0,F 21,40-Fire Hydrant,,,
7953567672,54633JT,NY,COM,05/22/2015,19,VAN,FRUEH,T,0,0,0,,0052,52,52,361294,T201,H,0107P,,BX,I,S,Bainbridge Ave,50ft W/of Van Cortla,01/05/0001 12:00:00 PM,408,c3,,YYYYYYY,,,WHITE,,2005,,0,55 2,19-No Stand (bus stop),,,
7169539809,FFS8486,NY,PAS,10/20/2014,21,SUBN,NS/OT,T,24240,15940,16040,,107,107,107,330743,T402,L,1055A,,Q,O,7645,164th St,,01/05/0001 12:00:00 PM,408,d1,,Y,1030A,1200A,GREY,,2009,,0,D 42,21-No Parking (street clean),,,
7635180459,EVK3163,NY,PAS,04/05/2015,19,SUBN,TOYOT,T,28990,14740,14810,,112,112,112,346343,T402,D,1141A,,Q,O,70-24,Austin St,,01/05/0001 12:00:00 PM,408,c3,,YYYYYYY,,,LT/,,2004,,0,01 4,19-No Stand (bus stop),,,
7562240190,GXB1607,NY,PAS,05/26/2015,21,SUBN,TOYOT,T,10210,18650,18670,,0019,19,19,362275,T103,O,0839A,,NY,F,1479,3rd Ave,,01/05/0001 12:00:00 PM,408,d1,,Y,0830A,0900A,GY,,2012,,0,14 7,21-No Parking (street clean),,,
8007055927,DDE4116,NY,PAS,08/02/2014,38,SUBN,CHEVR,T,10010,18490,18510,,0019,19,19,358856,T103,CC,1203P,,NY,F,1445,1st Ave,,01/05/0001 12:00:00 PM,408,h1,,Y,0830A,0700P,WH,,2012,,0,18 7,38-Failure to Display Muni Rec,,,
7501870287,DT11703,PA,PAS,12/12/2014,40,4DSD,AUDI,T,56530,42900,51030,,0084,84,84,356531,T301,C,1100A,,K,O,177,Livingston St,,01/05/0001 12:00:00 PM,408,e2,,YYYYYYY,,,OTHER,,0,,5,04 3,40-Fire Hydrant,,,
1343606779,23493JR,NY,COM,07/30/2014,14,FLAT,RENWO,T,17710,10210,97740,,0017,17,0,355419,IR52,0000,1152A,,NY,F,201,E 36TH ST,,01/05/0001 12:00:00 PM,408,C3,,BBBBBBB,0  :,0  :,RD,0,2006,-,0,,,,,
8020847698,GEN1508,NY,PAS,06/15/2015,40,PICK,FORD,T,66730,34130,73650,,0094,94,94,357368,T301,O,0224P,,K,O,223,N 11th St,,01/05/0001 12:00:00 PM,408,e2,,YYYYYYY,,,BK,,2012,,0,H 31,40-Fire Hydrant,,,
7082529636,GODEXIST,NY,SRF,10/30/2014,46,SUBN,MAZDA,T,20720,26610,26640,,0044,44,44,354094,T201,N,1109A,,BX,O,1037,College Ave,,01/05/0001 12:00:00 PM,408,f1,,,,,GL,,0,,0,F 21,46A-Double Parking (Non-COM),,,
7535513554,X15BUX,NJ,PAS,04/03/2015,16,4DSD,HONDA,T,56530,27530,29830,,0084,84,84,355531,T301,G,0120P,,K,F,65,Livingston St,,01/05/0001 12:00:00 PM,408,k2,,Y,1000A,0400P,SILVE,,0,,0,03 3,16A-No Std (Com Veh) Non-COM,,,
8030550121,75058JU,NY,COM,12/24/2014,16,VAN,CHEVR,T,36070,0,0,,0026,26,26,346020,T103,AA,0917A,,NY,I,S,W 115th St,55ft E/of Amsterdam,01/05/0001 12:00:00 PM,408,k2,,YYYYY,0800A,0400P,WH,,2007,,0,CC4,16A-No Std (Com Veh) Non-COM,,,
8005095442,GTX1138,NY,PAS,02/28/2015,38,SUBN,ROVER,T,57790,8590,10240,,114,114,114,358574,T401,X,1027A,,Q,F,44-33,Northern Blvd,,01/05/0001 12:00:00 PM,408,h1,,Y,0900A,0700P,GREY,,2008,,0,26-A,38-Failure to Display Muni Rec,,,
8008887187,GJS7186,NY,PAS,02/23/2015,38,SUBN,HONDA,T,13430,64330,5280,,0084,84,84,359310,T301,P,0926A,,K,F,490,Atlantic Ave,,01/05/0001 12:00:00 PM,408,h1,,Y,0900A,0700P,GY,,2008,,0,05 3,38-Failure to Display Muni Rec,,,
7041767991,GGZ3335,NY,PAS,02/26/2015,74,4DSD,AUDI,T,67920,37120,29620,,0043,43,43,358563,T202,J,0628A,,BX,F,1575,Thieriot Ave,,01/05/0001 12:00:00 PM,408,j2,,,,,BK,,2005,,0,F 22,74B-Covered Plate,,,
7973591163,42107JS,NY,COM,08/15/2014,16,VAN,FORD,T,18390,10110,10010,,0019,19,19,357737,T103,O,0931A,0852A,NY,F,300,E 70th St,,,408,k2,,Y,0700A,0700P,BLUE,,2014,,0,51 7,16-No Std (Com Veh) Com Plate,,,
7575859305,G50AXE,NJ,PAS,05/19/2015,14,VAN,CHEVR,T,34390,0,0,,0010,10,10,330487,T501,G,0619P,,NY,I,S,W 31st St,20ft W/of 10th Ave,01/05/0001 12:00:00 PM,408,c,,YYYYYYY,,,WHITE,,0,,0,99 6,14-No Standing,,,
7811784099,39748ME,NY,COM,12/12/2014,18,VAN,WORK,T,24890,18490,18510,,0019,19,19,341195,T103,B,0725A,,NY,O,1065,Lexington Ave,,01/05/0001 12:00:00 PM,408,f4,,YYYYY,0700A,1000A,WH,,2004,,0,CCB,18-No Stand (bus lane),,,
8024555281,ATB3800,NY,PAS,06/18/2015,70,SUBN,LEXUS,T,13140,19040,19090,,112,112,112,354002,T401,G,1256P,,Q,F,97-30,63rd Rd,,01/05/0001 12:00:00 PM,408,j3,,YYYYYYY,,,GL,,2015,,0,53-P,70A-Reg. Sticker Expired (NYS),,,
7897550783,ENA5237,NY,PAS,08/25/2014,9,4DSD,BMW,T,34510,10810,0,,0014,14,14,341298,T106,J,0441P,,NY,X,,W 37th St,8th Ave,01/05/0001 12:00:00 PM,408,e1,,,,,WH,,2007,,0,CC1,09-Blocking the Box,,,
8001344666,ELB2522,NY,PAS,01/14/2015,70,SUBN,CHRYS,T,34710,10810,10910,,0018,18,18,361040,T102,K,0152P,,NY,F,351,W 47th St,,01/05/0001 12:00:00 PM,408,j3,,YYYYYYY,,,RD,,2005,,0,MC 9,70A-Reg. Sticker Expired (NYS),,,
8001344666,ELB2522,NY,PAS,01/14/2015,70,SUBN,CHRYS,T,34710,10810,10910,,0018,18,18,361040,T102,K,0152P,,NY,F,351,W 47th St,,01/05/0001 12:00:00 PM,408,j3,,YYYYYYY,,,RD,,2005,,0,MC 9,70A-Reg. Sticker Expired (NYS),,,
7887948885,28512PC,NY,IRP,06/05/2015,14,TK,INTER,T,10810,0,0,,0014,14,14,355080,T102,A,0517A,,NY,I,E,8th Ave,20ft S/of E 41st St,01/05/0001 12:00:00 PM,408,c,,YYYYYYY,,,BL,,2014,,0,99 6,14-No Standing,,,
1369372358,FTG5464,NY,PAS,07/26/2014,40,SUBN,FORD,P,59190,67650,52510,,106,106,106,949554,0106,0000,0655A,,Q,F,9041,PITKIN AVE,,01/05/0001 12:00:00 PM,408,E2,,BBBBBBB,ALL,ALL,BLUE,0,1999,-,0,,,,,
7027491436,U046454,TN,PAS,03/11/2015,66,TRLR,NS/OT,T,15990,51090,17790,,102,102,102,345530,T402,L,0614A,,Q,F,87-21,76th St,,01/05/0001 12:00:00 PM,408,k4,,,,,BLUE,,0,,0,CC1,66-Detached Trailer,,,
1380543666,GST7381,NY,PAS,06/09/2015,21,SUBN,BMW,P,12510,33690,33910,,0006,6,6,926320,0006,0000,0911A,,NY,F,26,BANK ST,,01/05/0001 12:00:00 PM,408,D1,,BYBBYBB,0900A,1030A,GRAY,0,2004,-,0,,,,,
8004394061,74516JX,NY,COM,12/11/2014,21,VAN,CHEVR,T,10410,0,0,,0028,28,28,355316,T103,X,0955A,,NY,I,W,5th Ave,90ft S/of W 115th St,01/05/0001 12:00:00 PM,408,d1,,Y  Y,0930A,1100A,WHITE,,2007,,0,CC1,21-No Parking (street clean),,,
8004899020,GNV6435,NY,PAS,12/11/2014,21,SUBN,LEXUS,T,13040,20190,20390,,112,112,112,340066,T401,M,1157A,,Q,F,108-25,63rd Dr,,01/05/0001 12:00:00 PM,408,d1,,Y,1130A,0100P,WH,,2014,,0,A-AM,21-No Parking (street clean),,,
8015064132,GCX4813,NY,PAS,01/29/2015,74,SUBN,TOYOT,T,55390,23290,23380,,107,107,107,358221,T402,H,0941A,,Q,O,150-64,Melbourne Ave,,01/05/0001 12:00:00 PM,408,j2,,,,,BLACK,,2006,,0,06 4,74B-Covered Plate,,,
8010432416,GDB2663,NY,PAS,04/04/2015,31,SUBN,BMW,T,34290,13610,10510,,0013,13,13,361128,T102,B,1225P,,NY,O,55,W 26th St,,01/05/0001 12:00:00 PM,408,l3,,Y,0800A,0700P,BK,,2014,,0,99 6,31-No Stand (Com. Mtr. Zone),,,
7090999350,65376MB,NY,COM,11/17/2014,21,PICK,CHEVR,T,13890,19190,19540,,112,112,112,358595,T401,K,0944A,,Q,F,99-49,66th Rd,,01/05/0001 12:00:00 PM,408,d1,,Y,0930A,1100A,WH,,2012,,0,55-A,21-No Parking (street clean),,,
7759092490,FYW7338,NY,PAS,08/16/2014,70,4DSD,NISSA,T,16940,22640,22740,,107,107,107,345317,T402,X,0603A,,Q,F,13915,83rd Ave,,01/05/0001 12:00:00 PM,408,j3,,YYYYYYY,,,BK,,2007,,0,H 42,70A-Reg. Sticker Expired (NYS),,,
8011511075,GPZ2380,NY,PAS,11/12/2014,19,4DSD,NISSA,T,59990,11240,11440,,110,110,110,361383,T401,G,0528P,,Q,F,86-55,Queens Blvd,,01/05/0001 12:00:00 PM,408,c3,,YYYYYYY,,,TN,,0,,0,45-P,19-No Stand (bus stop),,,
7019462704,V338GU,FL,PAS,06/28/2014,40,4DSD,TOYOT,T,43320,28740,28770,,0047,47,47,355086,T202,X,1002A,,BX,F,4317,Katonah Ave,,01/05/0001 12:00:00 PM,408,e2,,YYYYYYY,,,BLACK,,0,,0,G 22,40-Fire Hydrant,,,
8022521164,N29CXT,NJ,PAS,05/28/2015,38,SUBN,ROVER,T,54050,35230,28830,,0061,61,61,361907,T302,D,0504P,,K,F,936,Kings Hwy,,01/05/0001 12:00:00 PM,408,h1,,Y,0830A,0700P,BLUE,,0,,0,04 3,38-Failure to Display Muni Rec,,,
8018938593,GEX9533,NY,PAS,05/27/2015,40,4DSD,VOLKS,T,22920,57720,9620,,0049,49,49,331666,T801,A,1006P,,BX,O,2222,Cruger Ave,,01/05/0001 12:00:00 PM,408,e2,,YYYYYYY,,,BK,,2004,,0,D 21,40-Fire Hydrant,,,
8006716614,FHL1451,NY,PAS,08/28/2014,21,SUBN,TOYOT,T,23190,54102,9540,,109,109,109,331832,T401,M,1125A,,Q,O,40-29,149th St,,01/05/0001 12:00:00 PM,408,d1,,Y,1100A,1230A,GY,,2004,,0,B 41,21-No Parking (street clean),,,
7059022790,72490MD,NY,COM,10/23/2014,47,DELV,INTER,T,10810,34430,34450,,0013,13,13,355706,T102,D,0928A,,NY,F,470,8th Ave,,01/05/0001 12:00:00 PM,408,l2,,Y,0700A,0700P,WHITE,,2014,,0,04 6,47-Double PKG-Midtown,,,
7961171174,16549KA,NY,COM,10/30/2014,85,VAN,FORD,T,8790,8640,8740,,114,114,114,341166,T803,A,0245A,1058P,Q,O,3511,37th Ave,,,408,k5,,,,,WH,,2005,,0,C 42,85-Storage-3 hour Commercial,,,
8021426639,EFZ9146,NY,PAS,05/07/2015,38,SUBN,ME/BE,T,42730,58730,23330,,0079,79,79,357064,T301,S,0232P,,K,O,1399,Fulton St,,01/05/0001 12:00:00 PM,408,h1,,Y,0800A,0700P,BL,,2015,,0,09 3,38-Failure to Display Muni Rec,,,
7773439760,GKU3373,NY,PAS,11/14/2014,38,4DSD,ACURA,T,42820,27180,29220,,0046,46,46,330766,T201,C,0136P,,BX,F,2375,Jerome Ave,,01/05/0001 12:00:00 PM,408,h1,,Y,0900A,0700P,GY,,2013,,0,17 2,38-Failure to Display Muni Rec,,,
7330383909,HZ9939,NJ,PAS,10/07/2014,38,SUBN,VOLKS,T,10210,17510,17530,,0013,13,13,357783,T102,I,0845P,,NY,F,370,3rd Ave,,01/05/0001 12:00:00 PM,408,h1,,Y,0800A,1000P,WHITE,,0,,0,99 6,38-Failure to Display Muni Rec,,,
1379345376,GRP2825,NY,PAS,02/23/2015,40,SDN,NISSA,P,36330,44430,13980,,0067,67,67,950705,0067,0000,0345A,,,F,950,E 34 ST,,01/05/0001 12:00:00 PM,408,F7,,BBBBBBB,ALL,ALL,GY,0,2012,-,0,,,,,
7550666295,GCM6178,NY,PAS,04/24/2015,38,SUBN,ME/BE,T,54830,50530,49430,,0090,90,90,361838,T301,N,1030A,,K,F,124,Lee Ave,,01/05/0001 12:00:00 PM,408,h1,,YYYYY,0800A,0400P,BK,,2013,,0,14 3,38-Failure to Display Muni Rec,,,
8020763788,FLT2346,NY,PAS,06/27/2015,38,4DSD,ME/BE,T,72730,86330,89730,,0077,77,77,359310,T301,N,0851A,,K,F,385,Prospect Pl,,01/05/0001 12:00:00 PM,408,h1,,Y,0830A,0700P,GY,,2005,,0,19 3,38-Failure to Display Muni Rec,,,
7075759450,FCE9339,NY,PAS,07/28/2014,38,2DSD,HONDA,T,18710,10210,10110,,0019,19,19,355537,T103,P,0829P,,NY,F,220,E 86th St,,01/05/0001 12:00:00 PM,408,h1,,Y,0830A,1000P,GY,,2011,,0,C 77,38-Failure to Display Muni Rec,,,
8002999400,33504ME,NY,COM,10/27/2014,14,PICK,PETER,T,24050,13610,27100,,0001,1,1,351929,T105,C,0800P,,NY,F,20,John St,,01/05/0001 12:00:00 PM,408,c,,YYYYYYY,,,WH,,2015,,0,001,14-No Standing,,,
7078949614,AG47359,AZ,PAS,03/25/2015,17,VAN,GMC,T,27050,0,0,,0001,1,1,361338,T105,J,0802A,,NY,I,S,Murray St,60ft W/of Broadway,01/05/0001 12:00:00 PM,408,c4,,YYYYYYY,,,WHITE,,0,,0,120,17-No Stand (exc auth veh),,,
8013866154,GCL1473,NY,PAS,01/08/2015,37,SUBN,NISSA,T,51090,18840,18890,,102,102,102,356307,T402,R,0220P,0210P,Q,F,95-16,Jamaica Ave,,01/05/0001 12:00:00 PM,408,h1,,Y,0930A,0700P,BK,,2013,431-3003,0,10 4,37-Expired Muni Meter,,,
8013866154,GCL1473,NY,PAS,01/08/2015,37,SUBN,NISSA,T,51090,18840,18890,,102,102,102,356307,T402,R,0220P,0210P,Q,F,95-16,Jamaica Ave,,01/05/0001 12:00:00 PM,408,h1,,Y,0930A,0700P,BK,,2013,431-3003,0,10 4,37-Expired Muni Meter,,,
8008083890,76138JY,NY,COM,04/28/2015,50,DELV,FRUEH,T,0,0,0,,0019,19,19,361862,T103,K,1015A,,NY,I,N,E 85th St,0ft E/of 1st Ave,01/05/0001 12:00:00 PM,408,e5,,,,,WH,,2007,,0,56 7,50-Crosswalk,,,
7453130025,EXE6758,NY,PAS,11/06/2014,38,SUBN,CHRYS,T,22140,18040,18290,,102,102,102,361021,T402,C,0618P,,Q,O,89-34,134th St,,01/05/0001 12:00:00 PM,408,h1,,Y,0900A,0700P,DKG,,1999,,0,01 4,38-Failure to Display Muni Rec,,,
7919987090,OL7314H,NJ,PAS,08/18/2014,14,LIM,LINCO,T,34350,0,0,,0010,10,10,355682,T106,A,0147P,,NY,I,S,W 29th St,50ft E/of 12th Ave,01/05/0001 12:00:00 PM,408,c,,YYYYYYY,,,BLACK,,0,,0,99 6,14-No Standing,,,
8030223523,35925MB,NY,COM,03/31/2015,69,UTIL,GMC,T,34750,10810,10910,,0018,18,18,361059,T106,M,1212P,,NY,F,338,W 49th St,,01/05/0001 12:00:00 PM,408,h1,,Y,0700A,0700P,WHITE,,2004,,0,67 6,69-Failure to Disp Muni Recpt,,,
1384748386,GGS4388,NY,PAS,06/01/2015,21,SUBN,TOYOT,S,0,40404,40404,,0062,62,0,528364,KS11,0000,0821A,,K,F,8708,18RTH AVENUE,,01/05/0001 12:00:00 PM,408,D1,,YYYYYYB,0800A,0830A,SILVE,0,2011,-,0,,,,,
7759119264,CNC5115,NY,PAS,02/19/2015,51,SUBN,JEEP,T,17590,23290,23640,,107,107,107,345317,T402,X,0440A,,Q,O,15047,87th Ave,,01/05/0001 12:00:00 PM,408,e3,,,,,RED,,1998,,0,D 42,51-Sidewalk,,,
7696367237,DL1627,TN,PAS,06/04/2015,21,VAN,FORD,T,37280,73210,26630,,0067,67,67,332960,T302,M,1136A,,K,F,2,E 56th St,,01/05/0001 12:00:00 PM,408,d1,,Y  Y,1100A,1230A,WHITE,,0,,0,L 32,21-No Parking (street clean),,,
7453938363,GWJ5442,NY,PAS,05/13/2015,38,2DSD,HONDA,T,51090,26850,63290,,105,105,105,361112,T402,B,0322P,,Q,F,219-09,Jamaica Ave,,01/05/0001 12:00:00 PM,408,h1,,Y,0800A,0700P,GY,,2002,,0,15 4,38-Failure to Display Muni Rec,,,
7067826690,EVG3361,NY,PAS,12/15/2014,20,4DSD,ACURA,T,10420,68220,72920,,0049,49,49,331666,T801,A,0955P,,BX,O,2385,Barker Ave,,01/05/0001 12:00:00 PM,408,d,,YYYYYYY,,,BK,,2007,,0,F 21,20A-No Parking (Non-COM),,,
7765544470,31454JV,NY,COM,06/08/2015,74,VAN,FORD,T,31390,35290,27820,,101,101,101,350438,T402,L,1000A,,Q,O,411,Beach 54th St,,01/05/0001 12:00:00 PM,408,j2,,,,,WHITE,,2010,,0,R 42,74-Missing Display Plate,,,
7662969800,XY614F,NJ,PAS,04/27/2015,16,VAN,FORD,T,25390,0,0,,0019,19,19,361305,T103,S,0156P,0116P,NY,I,E,Madison Ave,40ft S/of E 62nd St,01/05/0001 12:00:00 PM,408,k2,,Y,0700A,0400P,WHITE,,0,,0,CC1,16-No Std (Com Veh) Com Plate,,,
7161045757,CRZ8299,NY,PAS,08/13/2014,71,SUBN,CHEVR,T,0,0,0,,122,122,122,354173,T303,M,1114A,,R,I,N,Elizabeth Rd,45ft E/of Forest Ave,01/05/0001 12:00:00 PM,408,j6,,YYYYYYY,,,BL,,1996,,0,A-AM,71A-Insp Sticker Expired (NYS),,,
7047364225,BLKNYLLW,NY,SRF,02/18/2015,38,2DSD,DODGE,T,27590,13810,16310,,0007,7,7,361279,T101,D,0516P,,NY,F,93,Orchard St,,01/05/0001 12:00:00 PM,408,h1,,Y,0900A,0700P,BK,,2014,,0,77 1,38-Failure to Display Muni Rec,,,
8035169506,HYK0369,PA,PAS,05/18/2015,20,SUBN,MAZDA,T,20230,75730,80930,,0090,90,90,346199,T301,L,0347P,,K,O,169,Bogart St,,01/05/0001 12:00:00 PM,408,d,,YYYYY,0800A,0600P,WHITE,,0,,0,A 31,20A-No Parking (Non-COM),,,
1377529241,GTP2802,NY,PAS,02/15/2015,41,SUBN,CADIL,P,37550,32890,0,,0034,34,34,956765,0034,0000,0155P,0155P,NY,F,,W 190,WADSWORTH TER,01/05/0001 12:00:00 PM,408,F1,,BBBBBBB,ALL,ALL,GREY,0,2005,-,0,,,,,
7463030568,EKH3430,NY,PAS,08/02/2014,21,4DSD,CADIL,T,44690,20990,21070,,113,113,113,356248,T402,L,1001A,,Q,F,117-31,Farmers Blvd,,01/05/0001 12:00:00 PM,408,d1,,Y,0930A,1100A,BLACK,,2008,,0,M 42,21-No Parking (street clean),,,
7095297307,ZSF34A,NJ,PAS,10/03/2014,38,4DSD,JAGUA,T,23190,23090,21240,,0006,6,6,331733,T800,A2,0842P,,NY,F,641,Hudson St,,01/05/0001 12:00:00 PM,408,h1,,Y,0700A,1100P,WHITE,,0,,0,B 77,38-Failure to Display Muni Rec,,,
8012137744,46189JS,NY,COM,06/11/2015,48,VAN,FORD,T,15310,29890,31490,,0005,5,5,362163,T101,D,0301P,,NY,F,179,Chrystie St,,01/05/0001 12:00:00 PM,408,e9,,,,,BL,,2013,,0,71 1,48-Bike Lane,,,
7099499269,57834MD,NY,COM,09/09/2014,71,SUBN,FORD,T,28790,18740,18840,,115,115,115,358629,T401,D,1134A,,Q,F,94-19,Astoria Blvd,,01/05/0001 12:00:00 PM,408,j6,,YYYYYYY,,,YW,,1993,,0,16-A,71A-Insp Sticker Expired (NYS),,,
7345488731,16223TC,NY,TRC,04/17/2015,69,T/CR,PETER,T,17890,0,0,,0018,18,18,330692,T503,B1,1040A,,NY,I,S,E 45th St,10ft E/of Vanderbilt,01/05/0001 12:00:00 PM,408,h1,,YYYYY,0700A,0700P,RED,,0,,0,07 7,69-Failure to Disp Muni Recpt,,,
7989075453,EVE5655,NY,PAS,02/15/2015,74,4DSD,INFIN,T,18790,10110,10010,,0019,19,19,355113,T103,O,0757A,,NY,O,301,E 90th St,,01/05/0001 12:00:00 PM,408,j2,,,,,GREY,,2009,,0,17 7,74B-Covered Plate,,,
7525509270,43639ME,NY,COM,11/24/2014,48,VAN,MI/F,T,89730,31830,19230,,0077,77,77,359590,T301,G,1215P,,K,F,619,Washington Ave,,01/05/0001 12:00:00 PM,408,e9,,,,,WH,,2008,,0,19 3,48-Bike Lane,,,
7055364115,2028132,IN,PAS,10/13/2014,8,DELV,FRUEH,T,10610,34270,34290,,0010,10,10,361299,T102,N,0109P,0106P,NY,O,275,7th Ave,,01/05/0001 12:00:00 PM,408,p,,,,,WHITE,,0,,0,12 6,08-Engine Idling,,,
